crop_id,phase,N_1st_husbandry_year,N_2nd_husbandry_year,inc_N_start_production,P2O5_1st_husbandry_year,P2O5_2nd_husbandry_year,inc_P2O5_start_production,K2O_1st_husbandry_year,K2O_2nd_husbandry_year,inc_K2O_start_production,multi_cuts,standard_N_base,note1,increment_per_cut,note2,K2O_normal_base,K2O_low_base,K2O_high_base,K2O_very_low_base,inc_cut_K2O_normal,inc_cut_K2O_low,inc_cut_K2O_high,inc_cut_K2O_very_low
A2,nd,55.0,85.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
Ab2,nd,55.0,85.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A4,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A5,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A6,nd,,,,,,,,,,no,,,,,,,,,,,,
A8,nd,,,,,,,,,,no,,,,,,,,,,,,
A10,nd,,,,,,,,,,no,,,,,,,,,,,,
A12,nd,30.0,50.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A14,nd,,,,,,,,,,no,,,,,,,,,,,,
A15,nd,40.0,60.0,20.0,15.0,25.0,0.0,20.0,40.0,20.0,no,,,,,,,,,,,,
A16,nd,,,,,,,,,,no,,,,,,,,,,,,
A17,nd,25.0,40.0,0.0,15.0,20.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A18,nd,,,,,,,,,,no,,,,,,,,,,,,
A19,nd,80.0,80.0,0.0,30.0,30.0,0.0,60.0,60.0,0.0,no,,,,,,,,,,,,
A20,nd,,,,,,,,,,no,,,,,,,,,,,,
A21,nd,,,,,,,,,,no,,,,,,,,,,,,
A22,nd,40.0,60.0,20.0,15.0,25.0,15.0,20.0,40.0,50.0,no,,,,,,,,,,,,
A23,nd,50.0,65.0,0.0,20.0,25.0,0.0,50.0,65.0,0.0,no,,,,,,,,,,,,
A24,nd,,,,,,,,,,no,,,,,,,,,,,,
A25,nd,,,,,,,,,,no,,,,,,,,,,,,
A26,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A27,nd,,,,,,,,,,no,,,,,,,,,,,,
A28,nd,30.0,50.0,0.0,20.0,30.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A29,nd,30.0,50.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A30,nd,40.0,60.0,20.0,15.0,25.0,0.0,20.0,40.0,20.0,no,,,,,,,,,,,,
A31,nd,40.0,60.0,20.0,15.0,25.0,0.0,20.0,40.0,20.0,no,,,,,,,,,,,,
A32,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A33,nd,,,,,,,,,,no,,,,,,,,,,,,
A34,nd,,,,,,,,,,no,,,,,,,,,,,,
A35,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A36,nd,,,,,,,,,,no,,,,,,,,,,,,
A37,nd,30.0,50.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A38,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
E1,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E2,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E3,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E4,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E5,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E6,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E7,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E8,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E9,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E10,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E11,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E12,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E13,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E14,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E15,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E16,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E17,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E18,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E19,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E20,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E21,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E22,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E23,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E24,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E25,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E26,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E27,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E28,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E29,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E30,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E31,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E32,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E33,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E34,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E35,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E36,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E37,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E38,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E39,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E40,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E41,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E42,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E43,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E44,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E45,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E46,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E47,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E48,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E49,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E50,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E51,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E52,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E53,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E54,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E55,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E56,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E57,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F1,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F2,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F3,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F4,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,si,,,,,,,,,,,,
F5,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F6,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F7,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F8,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F9,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F10,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F11,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F12,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F13,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F14,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F15,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F16,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F17,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F18,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F19,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F20,nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,,,,,,,,,,,,
F21,nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,,,,,,,,,,,,
F22,nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mo,,,,,,,,,,,,
F23,nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no,,,,,,,,,,,,
F24,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F25,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F26,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F27,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F28,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F29,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
F30,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O1,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O2,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O3,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O4,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O5,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,90.0,,30.0,dose per tagli successivi,100.0,150.0,50.0,150.0,30.0,40.0,10.0,40.0
O6,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O7,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,200.0,comprensivo di tutti i tagli,40.0,dose per tagli successivi,175.0,245.0,45.0,245.0,0.0,0.0,0.0,0.0
O8,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,150.0,comprensivo di tutti i tagli,40.0,dose per tagli successivi,130.0,200.0,50.0,200.0,0.0,0.0,0.0,0.0
O9,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,200.0,comprensivo di tutti i tagli,40.0,dose per tagli successivi,200.0,270.0,70.0,270.0,0.0,0.0,0.0,0.0
O10,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O11,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O12,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O13,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O14,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O15,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O16,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O17,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O18,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O19,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O20,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O21,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O22,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O23,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O24,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O25,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O26,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O27,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O28,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,130.0,comprensivo di tutti i tagli,40.0,dose per tagli successivi,140.0,200.0,70.0,200.0,0.0,0.0,0.0,0.0
O29,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O30,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O31,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O32,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O33,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O34,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O35,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O36,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O37,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O38,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O39,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O40,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O41,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O42,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O43,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O44,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O45,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O46,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O47,nd,,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O48,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O49,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O50,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O51,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O52,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O53,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O54,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O55,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O56,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O57,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,70.0,comprensivo di tutti i tagli,20.0,dose per tagli successivi,150.0,200.0,100.0,200.0,0.0,0.0,0.0,0.0
O58,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O59,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O60,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O61,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O62,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O63,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,100.0,comprensivo di tutti i tagli,20.0,dose per tagli successivi,150.0,190.0,90.0,190.0,0.0,0.0,0.0,0.0
O64,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O65,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O66,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O67,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,sì,150.0,comprensivo di tutti i tagli,40.0,dose per tagli successivi,130.0,150.0,30.0,150.0,0.0,0.0,0.0,0.0
O68,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O69,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O70,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O71,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O72,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O73,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O74,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O75,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
O76,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S1,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S2,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S3,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S4,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S5,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S6,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S7,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S8,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S9,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S10,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S11,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S12,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S13,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S14,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S15,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S16,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S17,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S18,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S19,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S20,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S21,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S22,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
S23,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL1,1° taglio,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL1,2° taglio o succ.,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL3,1° taglio,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL3,2° taglio o succ.,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL5,1° taglio,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL5,2° taglio o succ.,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL7,un ciclo intero,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL8,1° taglio,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL9,2° taglio o succ.,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL10,1° taglio,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL11,2° taglio o succ.,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL12,1° taglio,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL13,2° taglio o succ.,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL14,un ciclo intero,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
BL15,un ciclo intero,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
0,,,,,,,,,,,no,,,,,,,,,,,,
2,4,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70,71.0,72,73.0,74,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0
criterio,,,,,,,,,,,,,,,,,,,,,,,
ID_Coltura,fase,,,,,,,,,,,,,,,,,,,,,,
E17,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,#VALUE!,,#VALUE!,,,,,,,,
